timestamp,gps_vel_x,gps_vel_y,gps_vel_z,gps_lat,gps_lon,gps_alt,eph,epv
1.729423763974803e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423763974803e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764025804e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.729423764076805e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641278062e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237641788073e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
1.7294237642298084e+18,0.0,0.0,0.0,47.64146863796799,-122.14016502183125,121.34056091308594,0.10000111907720566,0.10000111907720566
